time,balance,equity
2024-01-02 05:00:00,100.0,100.0
2024-01-02 05:15:00,100.0,100.0
2024-01-02 05:30:00,100.0,100.0
2024-01-02 05:45:00,100.0,100.0
2024-01-02 06:00:00,100.0,100.0
2024-01-02 06:15:00,100.0,100.0
2024-01-02 06:30:00,100.0,100.0
2024-01-02 06:45:00,100.0,100.0
2024-01-02 07:00:00,100.0,100.0
2024-01-02 07:15:00,100.0,100.0
2024-01-02 07:30:00,100.0,100.0
2024-01-02 07:45:00,100.0,100.0
2024-01-02 08:00:00,100.0,100.0
2024-01-02 08:15:00,100.0,100.0
2024-01-02 08:30:00,100.0,100.0
2024-01-02 08:45:00,100.0,100.0
2024-01-02 09:00:00,100.0,100.0
2024-01-02 09:15:00,100.0,100.0
2024-01-02 09:30:00,100.0,100.0
2024-01-02 09:45:00,100.0,101.29999999999986
2024-01-02 10:00:00,99.61999999999995,99.61999999999995
2024-01-02 10:15:00,99.61999999999995,99.61999999999995
2024-01-02 10:30:00,99.61999999999995,99.61999999999995
2024-01-02 10:45:00,99.61999999999995,99.61999999999995
2024-01-02 11:00:00,99.61999999999995,99.61999999999995
2024-01-02 11:15:00,99.61999999999995,99.61999999999995
2024-01-02 11:30:00,99.61999999999995,99.61999999999995
2024-01-02 11:45:00,99.61999999999995,99.61999999999995
2024-01-02 12:00:00,99.61999999999995,99.61999999999995
2024-01-02 12:15:00,99.61999999999995,99.61999999999995
2024-01-02 12:30:00,99.61999999999995,99.61999999999995
2024-01-02 12:45:00,99.61999999999995,99.61999999999995
2024-01-02 13:00:00,99.61999999999995,99.61999999999995
2024-01-02 13:15:00,99.61999999999995,99.61999999999995
2024-01-02 13:30:00,99.61999999999995,99.61999999999995
2024-01-02 13:45:00,99.61999999999995,99.61999999999995
2024-01-02 14:00:00,99.61999999999995,99.61999999999995
2024-01-02 14:15:00,99.61999999999995,99.61999999999995
2024-01-02 14:30:00,99.61999999999995,99.61999999999995
2024-01-02 14:45:00,99.61999999999995,99.61999999999995
2024-01-02 15:00:00,99.61999999999995,99.61999999999995
2024-01-02 15:15:00,99.61999999999995,99.61999999999995
2024-01-02 15:30:00,99.61999999999995,99.61999999999995
2024-01-02 15:45:00,99.61999999999995,99.61999999999995
2024-01-02 16:00:00,99.61999999999995,99.61999999999995
2024-01-02 16:15:00,99.61999999999995,99.61999999999995
2024-01-02 16:30:00,99.61999999999995,99.61999999999995
2024-01-02 16:45:00,99.61999999999995,99.61999999999995
2024-01-02 17:00:00,99.61999999999995,99.61999999999995
2024-01-02 17:15:00,99.61999999999995,99.61999999999995
2024-01-02 17:30:00,99.61999999999995,99.61999999999995
2024-01-02 17:45:00,99.61999999999995,99.61999999999995
2024-01-02 18:00:00,99.61999999999995,99.61999999999995
2024-01-02 18:15:00,99.61999999999995,99.61999999999995
2024-01-02 18:30:00,99.61999999999995,99.61999999999995
2024-01-02 18:45:00,99.61999999999995,99.61999999999995
2024-01-02 19:00:00,99.61999999999995,99.61999999999995
2024-01-02 19:15:00,99.61999999999995,99.61999999999995
2024-01-02 19:30:00,99.61999999999995,99.61999999999995
2024-01-02 19:45:00,99.61999999999995,99.61999999999995
2024-01-02 20:00:00,99.61999999999995,99.61999999999995
2024-01-02 20:15:00,99.61999999999995,99.61999999999995
2024-01-02 20:30:00,99.61999999999995,99.61999999999995
2024-01-02 20:45:00,99.61999999999995,99.61999999999995
2024-01-02 21:00:00,99.61999999999995,99.61999999999995
2024-01-02 21:15:00,99.61999999999995,99.61999999999995
2024-01-02 21:30:00,99.61999999999995,99.61999999999995
2024-01-02 21:45:00,99.61999999999995,99.61999999999995
2024-01-02 22:00:00,99.61999999999995,99.61999999999995
2024-01-02 22:15:00,99.61999999999995,99.61999999999995
2024-01-02 22:30:00,99.61999999999995,99.61999999999995
2024-01-02 22:45:00,99.61999999999995,99.61999999999995
2024-01-02 23:00:00,99.61999999999995,99.61999999999995
2024-01-02 23:15:00,99.61999999999995,99.61999999999995
2024-01-02 23:30:00,99.61999999999995,99.61999999999995
2024-01-02 23:45:00,99.61999999999995,99.61999999999995
2024-01-03 00:00:00,99.61999999999995,99.61999999999995
2024-01-03 00:15:00,99.61999999999995,99.61999999999995
2024-01-03 00:30:00,99.61999999999995,99.61999999999995
2024-01-03 00:45:00,99.61999999999995,99.61999999999995
2024-01-03 01:00:00,99.61999999999995,99.61999999999995
2024-01-03 01:15:00,99.61999999999995,99.61999999999995
2024-01-03 01:30:00,99.61999999999995,99.61999999999995
2024-01-03 01:45:00,99.61999999999995,99.61999999999995
2024-01-03 02:00:00,99.61999999999995,99.61999999999995
2024-01-03 02:15:00,99.61999999999995,99.61999999999995
2024-01-03 02:30:00,99.61999999999995,99.61999999999995
2024-01-03 02:45:00,99.61999999999995,99.61999999999995
